公司名稱,買入,賣出,差額
聯發科,1080935,177538,903397
華碩,802743,244737,558006
智原,583380,70393,512987
鴻海,511024,96975,414049
旺矽,308733,43490,265243
緯穎,499618,241862,257756
廣達,278693,37977,240716
00632R,261908,46647,215261
日月光投控,280201,82382,197819
00878,376128,184234,191894
陽明,498740,310742,187998
長榮,543288,361498,181790
信驊,196163,18454,177709
大立光,498688,322393,176295
中租-KY,177435,2549,174886
力成,219216,48132,171084
鈊象,189830,23759,166071
華通,178430,13485,164945
世芯-KY,301967,139141,162826
中美晶,247242,89398,157844
瑞儀,200818,45360,155458
聚陽,181364,26456,154908
健策,159077,13856,145221
00673R,151634,6997,144637
智邦,169675,27892,141783
三陽工業,118393,9367,109026
兆豐金,145106,41468,103638
元大台灣50,253699,150278,103421
致茂,102025,0,102025
愛普*,104101,5150,98951
譜瑞-KY,119150,20805,98345
創意,126544,28366,98178
世界,132727,34584,98143
勤誠,136616,41132,95484
祥碩,127022,35887,91135
聯電,373625,282920,90705
嘉澤,133096,42532,90564
亞力,138045,48811,89234
文曄,130661,44819,85842
正新,79464,0,79464
精英,193053,114300,78753
大聯大,111141,32947,78194
00663L,76766,681,76085
元大高股息,86908,11397,75511
中信金,166393,94684,71709
中華電,84000,14445,69555
可成,89167,19931,69236
臻鼎-KY,102512,33599,68913
奇鋐,176644,109698,66946
優群,91132,24589,66543
永豐金,104356,38118,66238
裕融,61750,0,61750
00640L,60622,0,60622
環球晶,88938,28527,60411
一詮,103110,44832,58278
信邦,57626,0,57626
旺宏,79119,22596,56523
和碩,91686,35274,56412
瑞昱,152836,97654,55182
全新,111265,56696,54569
迎廣,92800,38662,54138
00881,95231,41872,53359
京元電子,86834,34548,52286
新唐,72340,20642,51698
富邦金,51837,329,51508
東元,55277,4472,50805
台肥,57556,7525,50031
光寶科,96022,46282,49740
M31,82434,33802,48632
定穎投控,50188,4658,45530
頎邦,70842,25663,45179
聯詠,50428,5610,44818
00900,102618,58154,44464
英業達,130075,86781,43294
南亞科,44511,3307,41204
啟��,74289,33236,41053
致伸,43720,3530,40190
凌陽創新,39160,213,38947
宏��,240779,203015,37764
00893,38074,522,37552
健鼎,79209,42185,37024
瑞鼎,36872,411,36461
大亞,37161,1920,35241
華孚,43716,9101,34615
視陽,35119,791,34328
聯強,50792,16614,34178
00757,47838,14511,33327
威盛,42031,9064,32967
群創,31977,703,31274
京鼎,31195,0,31195
玉晶光,49520,19059,30461
元大金,45738,15785,29953
金像電,42367,12655,29712
00701,31269,1723,29546
00720B,29962,428,29534
00740B,64656,35675,28981
亞德客-KY,30308,1484,28824
華邦電,90493,63100,27393
達發,27216,0,27216
00934,103394,76269,27125
00891,67080,40050,27030
00664R,32886,5921,26965
億光,26998,645,26353
矽力*-KY,29789,3758,26031
00896,31023,5001,26022
群光,48721,23069,25652
00936,54510,29125,25385
弘塑,28987,3836,25151
台燿,40242,15452,24790
中光電,29660,5374,24286
矽創,47463,23728,23735
華新,30637,7461,23176
元太,38063,14935,23128
美時,58688,35630,23058
新光金,43280,20434,22846
群電,22342,150,22192
高力,22404,453,21951
新普,32872,11605,21267
洋基工程,21271,1717,19554
正基,19310,125,19185
金麗科,24473,5428,19045
長榮航,20386,1762,18624
遠百,21512,3718,17794
高技,19642,2196,17446
仁寶,18435,1482,16953
台積電,26939,10790,16149
矽統,16755,1372,15383
聯茂,15309,0,15309
健喬,16956,1978,14978
川湖,37194,22506,14688
達興材料,14629,105,14524
國泰金,14980,1406,13574
華擎,18856,5396,13460
朋程,15263,1989,13274
台灣銘板,13947,1330,12617
義隆,12158,0,12158
技嘉,28376,16583,11793
漢翔,13111,1448,11663
00713,15333,4236,11097
太醫,10753,0,10753
藥華藥,12778,2078,10700
00772B,12431,1871,10560
中砂,14251,3712,10539
振樺電,10674,247,10427
世紀鋼,13897,3550,10347
和泰車,18554,8218,10336
00907,23776,13682,10094
00885,10407,362,10045
欣興,13466,3826,9640
華城,35762,26349,9413
00935,25535,16134,9401
材料-KY,32493,23190,9303
00679B,13711,4499,9212
復盛應用,10142,1271,8871
至上,11045,2262,8783
00761B,11276,2574,8702
大同,8576,42,8534
寶雅,8394,8,8386
智通,8189,357,7832
00687B,58090,50382,7708
00919,7738,155,7583
上品,7577,0,7577
微星,7504,0,7504
中鋼,7345,0,7345
宏捷科,10073,2760,7313
00929,7505,415,7090
士電,6932,118,6814
夏都,6795,127,6668
藍天,7643,984,6659
00876,6606,0,6606
00746B,19337,12966,6371
00751B,7162,874,6288
高端疫苗,6503,233,6270
富華新,6200,0,6200
華航,11972,5822,6150
漢唐,5935,0,5935
晶豪科,15137,9274,5863
南電,8509,2935,5574
邦特,5501,0,5501
00924,5960,493,5467
世禾,7184,1732,5452
00731,25758,20501,5257
00662,12248,7057,5191
00932,6741,1666,5075
01007T,4929,0,4929
旭軟,47822,42968,4854
建準,12978,8263,4715
伊雲谷,5840,1183,4657
晶碩,5353,784,4569
同欣電,4830,463,4367
欣銓,4778,434,4344
大魯閣,4417,78,4339
富喬,4828,498,4330
神達,6690,2381,4309
00923,24371,20146,4225
通嘉,12913,8706,4207
勤美,4199,0,4199
是方,3967,0,3967
神基,3966,106,3860
緯創,6225,2448,3777
采鈺,5371,1610,3761
旭品,3762,119,3643
崇越,3630,0,3630
台灣大,3456,0,3456
保瑞,3868,640,3228
AES-KY,2774,0,2774
00730,2770,0,2770
智擎,2064,0,2064
